n,Rare trajectory?,Return,Time,Positions
83,True,-2.456854702056356,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 0, -1, -2, -1, -2, -1, 0, 1, 0, -1, -2, -1, -2, -1, -2, -1, 0, 1, 0)"
84,True,-2.4406424896583183,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, -2, -1, -2, -3, -2, -1, 0, -1, -2, -1, 0, 1, 0, -1, 0)"
85,True,-0.047263939552345424,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 2, 3, 2, 1, 2, 1, 0, 1, 0, 1, 0, 1, 0, -1, 0, -1, 0)"
86,True,-2.60520008317011,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, 0, 1, 2, 3, 2, 1, 2, 1, 0, 1, 0, -1, -2, -1, 0, 1, 0)"
87,False,-3.6828234939892024,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, -2, -1, 0, 1, 0, -1, 0, -1, 0, -1, -2, -1, 0, -1, 0, 1, 2, 3, 2)"
88,True,-1.9288777193882864,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, 1, 2, 3, 4, 3, 2, 1, 2, 1, 0, -1, -2, -1, -2, -1, 0, -1, 0, 1, 0)"
89,False,-5.071724144895875,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, -1, -2, -1, -2, -1, -2, -3, -2, -1, -2, -3, -2, -1, -2, -1, -2, -3, -2)"
90,True,-2.84833675175772,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, -2, -1, -2, -1, 0, 1, 0, 1, 0, -1, -2, -1, -2, -1, 0)"
91,True,-4.209764052548009,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, 1, 2, 3, 2, 1, 0, -1, -2, -3, -2, -1, -2, -1, 0, 1, 0)"
92,True,-2.8417510086537274,"(0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20)","(0, -1, 0, 1, 0, -1, 0, 1, 0, 1, 2, 1, 0, 1, 0, -1, 0, -1, 0, -1, 0)"
